Decadas,PRECIP,ET,SW,SURQ,GW,WYLD,LAT,BWF,GWF,Subcuencas
2000,953.221,539.337,41.061,48.434,243.303,391.534,85.831,377.568,580.398,San Pedro de Cachi
2000,617.747,464.682,20.924,7.794,88.942,133.859,31.451,128.187,485.606,Vinchos
2000,333.032,312.37,22.549,0.56,0,12.365,11.388,11.948,334.919,Pongora
2000,766.391,495.285,35.933,29.782,127.806,251.135,85.796,243.384,531.218,Yucaes
2000,617.747,489.519,22.406,11.146,56.005,108.805,37.703,104.854,511.925,Paccha
2000,766.391,497.99,37.096,28.096,188.084,266.203,39.03,255.21,535.086,Huatatas
2000,617.747,450.464,25.401,8.16,101.198,148.287,32.623,141.981,475.865,chillico
2000,660.926,453.717,39.099,10.466,127.28,188.895,43.518,181.264,492.816,Chicllarazo (aguas arriba)
2000,685.115,496.273,38.414,14.488,89.411,171.85,62.374,166.273,534.687,Apacheta
2000,953.22,534.215,44.681,70.182,206.32,396.647,108.129,384.631,578.896,Huanta
2000,617.747,456.699,26.257,11.381,98.004,141.804,26.268,135.653,482.956,Chicllarazo (aguas abajo)
2060,976.457,536.076,55.2,251.198,411.054,90.051,280.531,396.449,816.607,San Pedro de Cachi
2060,579.578,469.687,5.532,51.355,84.862,24.038,336.873,80.925,806.56,Vinchos
2060,675.339,430.875,40.045,113.883,220.003,58.947,307.485,212.875,738.36,Pongora
2060,1039.039,548.879,84.656,229.626,463.411,135.842,376.342,450.124,925.221,Yucaes
2060,579.578,486.51,8.647,28.843,68.472,28.249,531.681,65.739,1018.191,Paccha
2060,1039.039,552.94,74.829,333.221,491.471,64.631,353.524,472.681,906.464,Huatatas
2060,579.578,463.171,5.453,57.122,91.586,24.783,251.447,87.358,714.618,chillico
2060,677.943,447.969,12.626,135.249,203.162,46.979,465.375,194.854,913.344,Chicllarazo (aguas arriba)
2060,701.874,534.344,14.628,68.491,144.86,57.06,437.673,140.179,972.017,Apacheta
2060,976.456,532.203,78.197,211.312,415.344,113.327,313.228,402.836,845.431,Huanta
2060,579.578,466.997,7.849,55.34,87.595,20.262,275.585,83.451,742.582,Chicllarazo (aguas abajo)
2090,976.457,536.076,46.089,55.2,251.198,411.054,90.051,396.449,582.165,San Pedro de Cachi
2090,579.578,469.687,54.622,5.532,51.355,84.862,24.038,80.925,524.309,Vinchos
2090,675.339,430.875,48.335,40.045,113.883,220.003,58.947,212.875,479.21,Pongora
2090,1039.039,548.879,50.559,84.656,229.626,463.411,135.842,450.124,599.438,Yucaes
2090,579.578,486.51,79.071,8.647,28.843,68.472,28.249,65.739,565.581,Paccha
2090,1039.039,552.94,49.705,74.829,333.221,491.471,64.631,472.681,602.645,Huatatas
2090,579.578,463.171,46.669,5.453,57.122,91.586,24.783,87.358,509.84,chillico
2090,677.943,447.969,73.781,12.626,135.249,203.162,46.979,194.854,521.75,Chicllarazo (aguas arriba)
2090,701.874,534.344,86.552,14.628,68.491,144.86,57.06,140.179,620.896,Apacheta
2090,976.456,532.203,48.952,78.197,211.312,415.344,113.327,402.836,581.155,Huanta
2090,579.578,466.997,49.846,7.849,55.34,87.595,20.262,83.451,516.843,Chicllarazo (aguas abajo)
